Student_ID,Student_Name,Gender,Department,Semester,Attendance_Percentage,GPA,Assignment_Score,Quiz_Score,Internal_Marks,LMS_Login_Count,Study_Hours_Per_Week,Backlog_Count,Last_Login_Date,Admission_Year,Probation_Status
S0001,Ajay Das,Male,AI&DS,8,57,6.67,76,38,95,41,35,2,28-07-2025,2023,Yes
S0002,Pavithra Murthy,Female,IT,1,83,7.08,91,62,41,234,29,1,27-05-2026,2022,No
S0003,Sandhya Das,Female,EEE,5,72,6.2,83,87,55,3,3,2,19-04-2026,2026,No
S0004,Rekha Balakrishnan,Female,AI&DS,3,67,6.08,55,91,89,3,17,2,03-02-2026,2024,No
S0005,Balaji Gupta,Male,EEE,5,44,2.31,84,62,80,166,2,3,03-01-2026,2024,Yes
S0006,Malini Pillai,Female,ECE,5,50,5.93,73,93,63,217,11,1,09-11-2025,2026,Yes
S0007,Ganesh Balakrishnan,Male,CIVIL,1,84,7.35,61,35,96,205,5,1,13-04-2026,2024,No
S0008,Harish Rao,Male,AI&DS,3,54,4.77,51,80,61,224,32,5,28-09-2025,2022,Yes
S0009,Keerthana Narayanan,Female,ECE,2,48,3.55,80,98,52,52,24,6,15-10-2025,2024,Yes
S0010,Aishwarya Kumar,Female,CIVIL,5,85,6.66,59,99,44,116,23,0,08-10-2025,2022,No
S0011,Aarav Srinivasan,Male,IT,2,43,5.41,88,67,50,145,24,2,09-02-2026,2022,Yes
S0012,Neha Pillai,Female,MECH,4,52,5.88,82,93,35,16,21,2,27-02-2026,2025,Yes
S0013,Sanjay Sankar,Male,CIVIL,3,66,4.41,91,75,61,43,19,2,24-01-2026,2025,Yes
S0014,Rithika Reddy,Female,CIVIL,6,44,3.39,73,79,35,121,4,5,26-02-2026,2025,Yes
S0015,Gaurav Reddy,Male,CIVIL,1,88,6.78,61,100,44,216,9,2,24-01-2026,2025,No
S0016,Arun Pillai,Male,CIVIL,1,41,4.41,41,69,90,34,29,2,03-05-2026,2022,Yes
S0017,Srinidhi Reddy,Female,MECH,7,42,5.23,88,67,40,128,4,0,01-07-2025,2026,Yes
S0018,Ravi Das,Male,CSE,4,49,5.64,36,80,41,11,33,1,25-02-2026,2023,Yes
S0019,Murugan Gupta,Male,IT,6,70,3.07,48,41,66,60,29,0,16-01-2026,2025,Yes
S0020,Balaji Srinivasan,Male,ECE,6,95,7.13,86,92,63,110,22,0,07-06-2026,2023,No
S0021,Neha Verma,Female,CSE,7,57,4.53,51,95,67,79,30,3,13-05-2026,2022,Yes
S0022,Divya Nair,Female,AI&DS,1,67,4.96,87,91,74,239,2,6,07-04-2026,2023,Yes
S0023,Kiran Sankar,Male,AI&DS,1,75,5.17,89,43,65,18,30,0,10-12-2025,2022,No
S0024,Sindhu Nathan,Female,CIVIL,2,70,7.79,44,92,82,136,5,1,22-11-2025,2025,No
S0025,Harini Singh,Female,EEE,8,90,9.02,35,74,100,195,5,1,31-12-2025,2022,No
S0026,Anand Das,Male,AI&DS,5,85,6.21,95,49,99,212,1,0,03-01-2026,2022,No
S0027,Sandhya Joshi,Female,CIVIL,6,84,8.58,52,91,59,18,18,0,01-12-2025,2023,No
S0028,Ishitha Mehta,Female,ECE,1,40,2.01,51,77,100,198,35,3,09-03-2026,2026,Yes
S0029,Gayathri Singh,Female,EEE,6,70,7.79,93,91,52,120,16,1,29-07-2025,2022,No
S0030,Anu Das,Female,IT,7,67,6.8,40,63,46,132,2,2,30-10-2025,2022,No
S0031,Lakshmi Balakrishnan,Female,IT,4,99,6.35,59,53,84,108,12,2,24-03-2026,2025,No
S0032,Malini Nair,Female,AI&DS,3,72,5.77,36,98,75,104,16,2,09-07-2025,2022,No
S0033,Vidya Sharma,Female,AI&DS,8,67,6.66,65,45,80,158,24,2,23-01-2026,2023,No
S0034,Kumar Krishnan,Male,CIVIL,7,70,4.83,53,69,45,41,14,4,07-04-2026,2023,Yes
S0035,Suresh Joshi,Male,EEE,3,64,4.43,97,89,37,42,35,3,02-06-2026,2023,Yes
S0036,Sangeetha Reddy,Female,AI&DS,7,90,7.18,49,73,97,208,35,1,30-09-2025,2025,No
S0037,Deepika Nathan,Female,IT,3,84,8.39,72,50,45,235,8,1,12-01-2026,2023,No
S0038,Srinidhi Sharma,Female,CSE,6,47,3.59,95,76,96,92,6,6,02-12-2025,2026,Yes
S0039,Ananya Nair,Female,ECE,3,70,4.62,52,37,75,214,31,4,07-11-2025,2025,Yes
S0040,Kavita Sharma,Female,CIVIL,1,50,2.96,81,65,68,150,29,6,27-01-2026,2022,Yes
S0041,Keerthana Gupta,Female,CIVIL,2,100,7.41,83,41,50,243,32,0,25-08-2025,2024,No
S0042,Swati Balakrishnan,Female,CSE,5,70,5.36,90,84,44,181,17,0,12-01-2026,2022,No
S0043,Ganesh Singh,Male,CSE,3,95,9.58,91,67,80,101,11,1,22-09-2025,2025,No
